timestamp,selected_leader,fraud_prob,decision,tx_hash
2026-01-30 23:37:05,0xDC04300D9...,0.0082,ACCEPT,dcfa8cb9bdb6ddeb61d3b4164ab60dc825a996ccf3b9385b3fa8e5e47a388b45
2026-01-30 23:37:05,0xDC04300D9...,0.4986,REJECT,BLOCKED
2026-01-30 23:37:05,0xDC04300D9...,0.7086,REJECT,BLOCKED
2026-01-30 23:37:05,0xDC04300D9...,0.3819,ACCEPT,56ce74f67eef108bc61cc338085c974cbfc59da0d207a3e58cc6d44a1442afa4
2026-01-30 23:37:05,0xDC04300D9...,0.7698,REJECT,BLOCKED
2026-01-30 23:37:05,0xDC04300D9...,0.1517,ACCEPT,03f6b625b48fe67ce8f34a3ccaae5435dd4bb67f08f8d9f41aa2a657abcb2b94
2026-01-30 23:37:05,0xDC04300D9...,0.7177,REJECT,BLOCKED
2026-01-30 23:37:05,0xDC04300D9...,0.1585,ACCEPT,0a4ce2b99d9a3c98fff46735e298d1ad9576c39ed9fd77fd43d17a18c64ec510
2026-01-30 23:37:05,0xDC04300D9...,0.956,REJECT,BLOCKED
2026-01-30 23:37:05,0xDC04300D9...,0.031,ACCEPT,5b157add0e5ef3152c57d0a1af8ced05c2675df57eb6b4b0781ebb303dcca769
2026-01-31 00:15:45,0xDC04300D9...,0.0082,ACCEPT,dcfa8cb9bdb6ddeb61d3b4164ab60dc825a996ccf3b9385b3fa8e5e47a388b45
2026-01-31 00:15:45,0xDC04300D9...,0.4986,REJECT,BLOCKED
2026-01-31 00:15:45,0xDC04300D9...,0.7086,REJECT,BLOCKED
2026-01-31 00:15:45,0xDC04300D9...,0.3819,ACCEPT,56ce74f67eef108bc61cc338085c974cbfc59da0d207a3e58cc6d44a1442afa4
2026-01-31 00:15:45,0xDC04300D9...,0.7698,REJECT,BLOCKED
2026-01-31 00:15:45,0xDC04300D9...,0.1517,ACCEPT,03f6b625b48fe67ce8f34a3ccaae5435dd4bb67f08f8d9f41aa2a657abcb2b94
